date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:35:23	13577/13577	---M-Z	200	added ('OK')	application/x-javascript	etag:%223509-6581f8da-29f73b3b6e5a82af;gz%22	https://yorkstreetspa.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://yorkstreetspa.com/)
14:35:23	7825/7825	---M-Z	200	added ('OK')	application/x-javascript	etag:%221e91-658c0a66-83dd57b011391670;gz%22	https://yorkstreetspa.com/wp-content/themes/twentyseventeen/assets/js/global.js?ver=20211130	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/wp-content/themes/twentyseventeen/assets/js/globalb10e.js	(from https://yorkstreetspa.com/)
14:35:25	206417/206417	---MCZ	200	added ('OK')	application/json	date:Mon,%2005%20Aug%202024%2006:35:26%20GMT	https://yorkstreetspa.com/wp-json/	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/wp-json/index.html	(from https://yorkstreetspa.com/)
14:35:25	107058/107058	---MCZ	200	added ('OK')	application/json	date:Mon,%2005%20Aug%202024%2006:35:26%20GMT	https://yorkstreetspa.com/wp-json/wp/v2/pages/46	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/wp-json/wp/v2/pages/46.json	(from https://yorkstreetspa.com/)
14:35:26	817/817	---M-Z	200	added ('OK')	text/xml	date:Mon,%2005%20Aug%202024%2006:35:27%20GMT	https://yorkstreetspa.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/xmlrpc0db0.php	(from https://yorkstreetspa.com/)
14:35:27	2324/2324	---M-Z	200	added ('OK')	application/json	date:Mon,%2005%20Aug%202024%2006:35:28%20GMT	https://yorkstreetspa.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fyorkstreetspa.com%2F	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/wp-json/oembed/1.0/embedc64c.json	(from https://yorkstreetspa.com/)
14:35:28	2501/2501	---M-Z	200	added ('OK')	text/xml	date:Mon,%2005%20Aug%202024%2006:35:29%20GMT	https://yorkstreetspa.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fyorkstreetspa.com%2F&format=xml	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/wp-json/oembed/1.0/embed8bbc	(from https://yorkstreetspa.com/)
14:35:29	3921/3921	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Aug%202024%2006:35:30%20GMT	https://yorkstreetspa.com/wp-content/uploads/2023/12/scroll.png	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/wp-content/uploads/2023/12/scroll.png	(from https://yorkstreetspa.com/)
14:35:29	360873/360873	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Aug%202024%2006:35:30%20GMT	https://yorkstreetspa.com/wp-content/uploads/2023/12/y1.png	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/wp-content/uploads/2023/12/y1.png	(from https://yorkstreetspa.com/)
14:35:30	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2005%20Aug%202024%2006:35:31%20GMT	https://yorkstreetspa.com/spa	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/spa	(from https://yorkstreetspa.com/)
